Ano,Gênero do Melhor Filme,Gênero do Melhor Diretor,Gênero do Melhor Ator,Gênero do Melhor Atriz,Gênero do Melhor Ator Coadjuvante,Gênero do Melhor Atriz Coadjuvante
1945,"Policial, Drama, Mistério","Comédia, Drama, Musical","Comédia, Drama, Musical","Policial, Drama, Mistério","Comédia, Drama, Musical","Drama, Romance"
1946,"Drama, Romance, Suspense","Drama, Filme noir","Drama, Filme noir","Policial, Drama, Filme noir","Drama, Família, Romance","Drama, Família, Esportes"
1947,"Biografia, Drama, Romance","Drama, Romance, Guerra","Drama, Romance, Guerra","Drama, Romance","Drama, Romance, Guerra","Drama, Romance"
1948,"Aventura, Drama, Mistério","Drama, Romance","Policial, Drama, Filme noir","Comédia, Drama, Romance","Comédia, Drama, Família","Drama, Romance"
1949,Drama,"Aventura, Drama, Faroeste",Drama,Drama,"Aventura, Drama, Faroeste","Ação, Policial, Drama"
1950,"Drama, Romance","Comédia, Drama, Romance","Drama, Filme noir","Drama, Romance","Drama, Guerra","Drama, Filme noir"
1951,"Drama, Filme noir",Drama,"Aventura, Drama, Romance","Comédia, Drama, Romance",Drama,"Comédia, Drama, Fantasia"
1952,Drama,"Drama, Romance","Aventura, Drama, Romance",Drama,Drama,Drama
1953,"Drama, Romance","Comédia, Drama, Romance","Drama, Suspense, Faroeste","Drama, Romance","Biografia, Drama, História","Drama, Romance"
1954,"Drama, História","Drama, Romance, Guerra","Comédia, Drama, Guerra","Comédia, Drama, Romance","Drama, Romance, Guerra","Drama, Romance, Guerra"
1955,"Policial, Drama, Suspense","Policial, Drama, Suspense","Policial, Drama, Suspense","Drama, Musical","Policial, Drama, Mistério","Policial, Drama, Suspense"
1956,"Comédia, Drama, Romance","Drama, Romance","Drama, Romance","Comédia, Drama, Romance","Comédia, Drama, Guerra",Drama
1957,"Biografia, Drama, Esportes","Drama, Faroeste","Biografia, Drama, Musical","Biografia, Drama, História","Biografia, Drama",Drama
1958,"Drama, Romance","Aventura, Drama, Guerra","Aventura, Drama, Guerra","Drama, Mistério","Drama, Romance","Drama, Romance"
1959,"Comédia, Musical, Romance","Comédia, Musical, Romance","Drama, Romance","Biografia, Policial, Drama","Drama, Romance, Faroeste","Drama, Romance"
1960,"Biografia, Drama, Família","Aventura, Drama","Aventura, Drama","Drama, Romance","Aventura, Drama","Biografia, Drama, Família"
1961,"Comédia, Drama, Romance","Comédia, Drama, Romance",Drama,"Drama, Romance","Aventura, Biografia, Drama",Drama
1962,"Drama, Esportes","Policial, Drama, Musical","Drama, Guerra","Drama, Guerra","Policial, Drama, Musical","Policial, Drama, Musical"
1963,"Policial, Drama","Aventura, Biografia, Drama","Policial, Drama","Biografia, Drama","Drama, Romance","Biografia, Drama"
1964,"Aventura, Drama","Aventura, Comédia, História","Comédia, Drama","Drama, Faroeste","Drama, Faroeste",Drama
1965,"Comédia, Drama","Drama, Família, Musical","Drama, Família, Musical","Comédia, Família, Fantasia","Aventura, Comédia, Policial","Comédia, Drama"
1966,"Drama, Romance, Guerra","Biografia, Drama, Família","Comédia, Faroeste","Drama, Romance","Comédia, Drama, Romance","Drama, Romance"
1967,Drama,"Biografia, Drama, História","Biografia, Drama, História",Drama,"Comédia, Romance",Drama
