Ano,Melhor Ator,Melhor Ator_Nacionalidade,Melhor Ator_Etnia,Melhor Atriz,Melhor Atriz_Nacionalidade,Melhor Atriz_Etnia,Melhor Diretor,Melhor Diretor_Nacionalidade,Melhor Diretor_Etnia,Melhor Ator Coadjuvante,Melhor Ator Coadjuvante_Nacionalidade,Melhor Ator Coadjuvante_Etnia,Melhor Atriz Coadjuvante,Melhor Atriz Coadjuvante_Nacionalidade,Melhor Atriz Coadjuvante_Etnia
1967,Paul Scofield,Reino Unido,Branco,Elizabeth Taylor,Reino Unido,Branco,Fred Zinnemann,Austria-Hungary,Branco,Walter Matthau,Estados Unidos,Branco,Sandy Dennis,Estados Unidos,Branco
1968,Rod Steiger,Estados Unidos,Branco,Katharine Hepburn,Estados Unidos,Branco,Mike Nichols,Alemanha,Branco,George Kennedy,Estados Unidos,Branco,Estelle Parsons,Estados Unidos,Branco
1969,Cliff Robertson,Estados Unidos,Branco,Katharine Hepburn,Estados Unidos,Branco,Carol Reed,Reino Unido,Branco,Jack Albertson,Estados Unidos,Branco,Ruth Gordon,Estados Unidos,Branco
1970,John Wayne,Estados Unidos,Branco,Maggie Smith,Reino Unido,Branco,John Schlesinger,Reino Unido,Branco,Gig Young,Estados Unidos,Branco,Goldie Hawn,Estados Unidos,Branco
1971,George C. Scott,Estados Unidos,Branco,Glenda Jackson,Reino Unido,Branco,Franklin J. Schaffner,Japão,Branco,John Mills,Reino Unido,Branco,Helen Hayes,Estados Unidos,Branco
1972,Gene Hackman,Estados Unidos,Branco,Jane Fonda,Estados Unidos,Branco,William Friedkin,Estados Unidos,Branco,Ben Johnson,Estados Unidos,Branco,Cloris Leachman,Estados Unidos,Branco
1973,Marlon Brando,Estados Unidos,Branco,Liza Minnelli,Estados Unidos,Branco,Bob Fosse,Estados Unidos,Branco,Joel Grey,Estados Unidos,Branco,Eileen Heckart,Estados Unidos,Branco
1974,Jack Lemmon,Estados Unidos,Branco,Glenda Jackson,Reino Unido,Branco,George Roy Hill,Estados Unidos,Branco,John Houseman,Romênia,Branco,Tatum O'Neal,Estados Unidos,Branco
1975,Art Carney,Estados Unidos,Branco,Ellen Burstyn,Estados Unidos,Branco,Francis Ford Coppola,Estados Unidos,Branco,Robert De Niro,Estados Unidos,Branco,Ingrid Bergman,Suécia,Branco
1976,Jack Nicholson,Estados Unidos,Branco,Louise Fletcher,Estados Unidos,Branco,Milos Forman,República Tcheca,Branco,George Burns,Estados Unidos,Branco,Lee Grant,Estados Unidos,Branco
1977,Peter Finch,Reino Unido,Branco,Faye Dunaway,Estados Unidos,Branco,John G. Avildsen,Estados Unidos,Branco,Jason Robards,Estados Unidos,Branco,Beatrice Straight,Estados Unidos,Branco
1978,Richard Dreyfuss,Estados Unidos,Branco,Diane Keaton,Estados Unidos,Branco,Woody Allen,Estados Unidos,Branco,Jason Robards,Estados Unidos,Branco,Vanessa Redgrave,Reino Unido,Branco
1979,Jon Voight,Estados Unidos,Branco,Jane Fonda,Estados Unidos,Branco,Michael Cimino,Estados Unidos,Branco,Christopher Walken,Estados Unidos,Branco,Maggie Smith,Reino Unido,Branco
1980,Dustin Hoffman,Estados Unidos,Branco,Sally Field,Estados Unidos,Branco,Robert Benton,Estados Unidos,Branco,Melvyn Douglas,Estados Unidos,Branco,Meryl Streep,Estados Unidos,Branco
1981,Robert De Niro,Estados Unidos,Branco,Sissy Spacek,Estados Unidos,Branco,Robert Redford,Estados Unidos,Branco,Timothy Hutton,Estados Unidos,Branco,Mary Steenburgen,Estados Unidos,Branco
1982,Henry Fonda,Estados Unidos,Branco,Katharine Hepburn,Estados Unidos,Branco,Warren Beatty,Estados Unidos,Branco,John Gielgud,Reino Unido,Branco,Maureen Stapleton,Estados Unidos,Branco
